,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2025年
省份,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,政府性债务余额
河南,"4,042","4,080","13,718","7,910","9,729",57.70%,"12,795",150.90%,绿,黄,"4,155","3,752","13,041","9,822","11,851",75.30%,"15,847",196.80%,绿,黄,"4,354","3,368","13,996","12,396","14,259",88.60%,"18,382",219.90%,绿,橙,"4,262","2,213","14,787","15,130","16,434",102.30%,"23,639",262.20%,绿,橙,"4,512","1,936","15,485","17,893","18,047",115.50%,"26,694",287.90%,绿,橙,"4,399","1,857","16,174","21,306","23,998",131.70%,"30,023",317.30%,黄,红," 24,884 "
黑龙江,"1,263",378,"5,808","4,749","4,940",81.80%,"2,088",117.70%,绿,绿,"1,153",449,"6,321","5,685","5,900",89.90%,"2,623",131.40%,绿,黄,"1,301",370,"6,399","6,535","6,674",102.10%,"2,732",144.80%,绿,黄,"1,291",153,"6,887","7,291","7,411",105.90%,"2,179",137.50%,绿,黄,"1,396",148,"5,559","8,497","8,520",152.90%,"2,461",197.10%,黄,黄,"1,525",320,"6,369","9,628","10,657",151.20%,"1,804",179.50%,黄,黄," 10,820 "
湖北,"3,388","3,475","10,999","8,040","8,416",73.10%,"20,102",255.80%,绿,橙,"2,512","3,229","12,224","10,079","10,500",82.50%,"22,948",270.20%,绿,橙,"3,283","3,926","13,461","11,932","12,538",88.60%,"26,054",282.20%,绿,橙,"3,281","2,871","13,571","13,900","14,525",102.40%,"29,191",317.50%,绿,红,"3,692","2,885","12,256","15,626","16,398",127.50%,"32,227",390.40%,黄,红,"3,937","2,880","13,158","18,586","21,373",141.30%,"33,039",392.40%,黄,红," 21,621 "
湖南,"3,007","2,994","10,724","10,175","10,229",94.90%,"18,025",263.00%,绿,橙,"3,009","3,356","12,505","11,814","12,161",94.50%,"21,244",264.40%,绿,橙,"3,251","3,806","12,341","13,605","13,839",110.20%,"23,872",303.70%,绿,红,"3,102","3,191","12,703","15,408","15,592",121.30%,"25,878",325.00%,黄,红,"3,361","2,622","13,078","18,216","18,428",139.30%,"27,148",346.90%,黄,红,"3,449","1,778","12,480","21,243","24,097",170.20%,"27,938",394.10%,黄,红," 24,289 "
吉林,"1,117",665,"4,858","4,345","4,811",89.40%,"3,499",161.50%,绿,黄,"1,085","1,021","5,578","5,221","5,782",93.60%,"3,460",155.60%,绿,黄,"1,144",938,"5,858","6,259","6,668",106.90%,"3,634",168.90%,绿,黄,851,366,"5,757","7,168","7,549",124.50%,"3,852",191.40%,黄,黄,"1,075",589,"6,369","8,871","9,176",139.30%,"3,003",186.40%,黄,黄,"1,191",495,"6,691","9,993","11,091",149.40%,"7,721",264.80%,黄,橙," 11,439 "
江苏,"8,802","9,250","23,357","14,878","16,525",63.70%,"66,040",346.40%,绿,红,"9,059","11,359","25,863","17,228","19,007",66.60%,"78,321",369.40%,绿,红,"10,015","13,633","28,677","18,964","20,823",66.10%,"87,661",371.80%,绿,红,"9,259","11,479","28,094","20,694","22,594",73.70%,"93,993",408.20%,绿,红,"9,930","10,316","27,473","22,733","23,850",82.70%,"102,480",455.80%,绿,红,"10,038","8,097","25,892","28,228","34,186",109.00%,"104,999",514.60%,绿,红," 33,928 "
江西,"2,487","2,537","7,832","5,351","6,276",68.30%,"11,569",216.00%,绿,橙,"2,508","3,102","8,932","7,149","8,299",80.00%,"14,345",240.70%,绿,橙,"2,812","2,972","9,274","9,013","10,041",97.20%,"17,237",283.00%,绿,橙,"2,948","2,252","8,916","10,860","11,794",121.80%,"19,838",344.30%,黄,红,"3,060","2,115","9,376","12,711","12,974",135.60%,"21,333",363.10%,黄,红,"3,067","1,814","8,461","15,054","16,502",177.90%,"24,254",464.60%,黄,红," 17,422 "
辽宁,"2,652","1,242","7,789","8,885","9,835",114.10%,"3,520",159.30%,绿,黄,"2,656","1,351","8,503","9,262","10,637",108.90%,"3,234",147.00%,绿,黄,"2,765","1,185","8,679","10,253","11,264",118.10%,"2,895",151.50%,绿,黄,"2,524",524,"8,449","10,975","11,718",129.90%,"1,445",147.00%,黄,黄,"2,754",449,"8,868","12,870","13,131",145.10%,"1,766",165.00%,黄,黄,"2,906",501,"9,428","14,016","15,928",148.70%,"1,664",166.30%,黄,黄," 15,690 "
内蒙古,"2,060",637,"6,141","7,307","7,764",119.00%,"3,175",170.70%,绿,黄,"2,051",656,"6,536","8,269","8,954",126.50%,"3,134",174.50%,黄,黄,"2,350",505,"6,721","8,901","9,498",132.40%,"2,924",175.90%,黄,黄,"2,824",408,"7,855","9,340","9,979",118.90%,"2,810",154.70%,绿,黄,"3,083",478,"9,104","11,070","11,428",121.60%,"2,730",151.60%,黄,黄,"3,150",520,"9,443","12,100","13,602",128.10%,"2,643",156.10%,黄,黄," 13,263 "
宁夏,424,118,"1,519","1,659","1,867",109.20%,974,173.30%,绿,黄,419,160,"1,722","1,859","2,041",107.90%,972,164.40%,绿,黄,460,146,"1,768","1,922","2,149",108.70%,997,165.00%,绿,黄,460,129,"1,923","1,997","2,237",103.80%,547,132.30%,绿,黄,502,101,"2,153","2,244","2,373",104.20%,619,132.90%,绿,黄,517,106,"2,260","2,490","2,889",110.10%,589,136.20%,绿,黄," 2,985 "
