,2018,2019,2020,2021,2022,2023,2024,2025,,,
隐债规模（万亿元）, 28.6 , 25.7 , 22.9 , 20.0 , 17.2 , 14.3 ,10.5, 6.8 ,,,
,,,,,,,,,,,
